Genus,d.PS79.178.20m_p.fastq,d.PS79.178.60m_p.fastq,d.PS79.179.20m_p.fastq,d.PS79.179.60m_p.fastq,d.PS79.193.20m_p.fastq,d.PS79.193.60m_p.fastq,d.PS79.241.20m_p.fastq,d.PS79.241.60m_p.fastq,d.PS79.262.20m_p.fastq,d.PS79.262.60m_p.fastq,d.PS79.287.20m_p.fastq,d.PS79.287.60m_p.fastq,d.PS79.296.20m_p.fastq,d.PS79.296.60m_p.fastq,d.PS79.297.20m_p.fastq,d.PS79.297.60m_p.fastq,d.PS79.298.20m_p.fastq,d.PS79.298.60m_p.fastq,d.PS79.300.20m_p.fastq,d.PS79.300.60m_p.fastq,d.PS79.302.20m_p.fastq,d.PS79.302.60m_p.fastq,d.PS79.304.20m_p.fastq,d.PS79.304.70m_p.fastq,d.PS79.306.20m_p.fastq,d.PS79.306.60m_p.fastq,d.PS79.307.20m_p.fastq,d.PS79.307.60m_p.fastq,d.PS79.308.20m_p.fastq,d.PS79.311.20m_p.fastq,d.PS79.311.60m_p.fastq,d.PS79.312.20m_p.fastq,d.PS79.312.60m_p.fastq,d.PS79.313.20m_p.fastq,d.PS79.314.20m_p.fastq,d.PS79.314.60m_p.fastq,d.PS79.315.20m_p.fastq,d.PS79.315.60m_p.fastq,d.PS79.317.20m_p.fastq,d.PS79.317.60m_p.fastq,d.PS79.318.20m_p.fastq,d.PS79.318.50m_p.fastq,d.PS79.319.20m_p.fastq,d.PS79.319.60m_p.fastq,d.PS79.320.20m_p.fastq,d.PS79.320.60m_p.fastq,d.PS79.321.20m_p.fastq,d.PS79.321.60m_p.fastq,d.PS79.322.20m_p.fastq,d.PS79.322.60m_p.fastq,d.PS79.323.20m_p.fastq,d.PS79.323.60m_p.fastq,d.PS79.324.20m_p.fastq,d.PS79.324.60m_p.fastq,d.PS79.326.20m_p.fastq,d.PS79.326.60m_p.fastq,d.PS79.329.20m_p.fastq,d.PS79.329.60m_p.fastq,d.PS79.330.20m_p.fastq,d.PS79.330.60m_p.fastq
Unknown_17,0,0,0,0,0,0,0,0,0,0,0,0,0,22,20,20,14,0,271,246,396,180,202,177,211,174,248,135,281,0,0,236,383,257,400,155,328,390,224,18,360,31,310,0,349,217,406,444,171,119,125,143,126,211,231,142,65,57,31,54
Prochlorococcus_MIT9313_18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,135,64,49,188,120,212,0,21,0,15,3,18,0,16,14,0,0,369,0,18,26,0,0,43,0,0,0,0,0,0,29,10,259,74,301,0,329,180,9,0,0,0
Polaribacter_19,1,0,372,0,0,0,24,0,70,0,60,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prochlorococcus_MIT9313_20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,26,11,345,10,408,14,8,0,0,6,0,0,0,0,44,11,74,0,27,14,0,0,30,0,0,0,14,0,7,6,74,14,25,29,11,76,428,0,0,0,0
Unknown_21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,140,200,24,108,23,119,76,152,57,166,268,0,354,251,196,164,162,287,228,73,9,293,3,0,0,0,2,14,27,74,37,178,99,217,91,385,129,0,9,4,8
Clade_Ia_22,0,0,0,0,753,871,0,0,1167,1431,1840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unknown_23,0,9,0,0,0,0,0,0,0,0,0,0,13,0,6,15,21,0,89,58,40,45,34,53,22,14,37,11,26,9,0,0,0,13,27,105,69,260,127,30,76,104,156,0,340,146,129,153,152,65,46,25,74,18,152,140,349,244,375,159
Sphingomonas_24,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,339,23,230,0,113,21,5,137,18,85,0,248,0,20,10,0,32,180,20,0,0,28,0,0,10,13,46,31,32,844,0,23,55,7,0,14,22,22,4,391,67,39,6,6,21
Unknown_25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,38,26,17,56,64,35,15,48,20,53,25,0,28,46,26,32,210,61,172,58,1,51,23,85,0,155,74,87,118,221,160,224,188,177,22,270,137,0,0,0,0
Prochlorococcus_MIT9313_26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,82,64,203,67,218,85,115,37,58,70,59,0,100,50,64,56,0,21,90,38,0,46,0,0,0,26,31,45,50,35,78,92,72,0,48,0,0,0,0,0,0
