ID,Lon,Lat,Province,Cruise,Station,Depth [m],Bot. Depth [m],Pres [dbar],Salinity [psu],Fluorometer [V],Transmission [proz],pot.Temperature [┬░C],Sigma [kg m-3],Bac_all/ml,Bacterial Biomass Production per hour_[ng C/l/h],Bacterial Biomass Production per day_[microg C/l/d],Bacterial generation time (days)_[days],Glucose turnover rate _[per day],Glucose turnover time_[days],Amino acid turnover rate _[per day],Amino acid turnover time_[days],Chl a_mean chl a [microg/L],Dissolved Inorganic Nutrients_NO X ( microM),NO2 ( microM ),NO3 (microM ),PO4 ( microM ),Si  ( microM ),HNA/ml,LNA/ml,Bac_size [microm],HNA_size [microm],LNA_size [microm],Bac_SSC,HNA_SSC,LNA_SSC,Prokaryotes/ml,Picoplankton/ml,Nanoplankton/ml,Microplankton/ml,Eukaryotes/ml,Prokaryotes rel.microm,Pico rel.microm,Nano rel.microm,Micro rel.microm,Eukaryotes rel.microm,Prokaryotes SSC,Pico SSC,Nano SSC,Micro  SSC,Eukaryotes SSC,Syn/ml,Proc/ml,Syn_size [microm],Proc_size [microm],Syn SSC,Proc SSC,TPN[microg/l],POC [microg/l],Growth rate,DNA_div,DNA_ENS,RNA_div,RNA_ENS,MLD
179_1000,-59.86666700000001,-57.983332999999995,ANTA,PS79,179,1000,4279.2,1012.0,34.6517,-0.0229,101.2942,2.1682,27.6791,56819.2307692308,0.824659991041269,335503810490393.0,69.4978236865297,386022273317834.0,274026003477406.0,365079545931733.0,338273043691047.0,0.8642930324645189,33.3270071955045,0.01,33.3170071955045,224.0,83.2710277692466,35538.4615384615,20730.769230769198,0.4871539829,0.48785434969999997,0.4859556245,2127.79,2140.16,2107.69,32.1428571428571,26.785714285714302,16.071428571428598,0.0,37.5,0.49222063439999997,2.0265654791,2.75604668314,0.0,2.3108938191,5235.33,221311.4,245620.0,0.0,246846.71,10219.406952565601,0.0,0.78913594336961,0.0,5038.84375658357,0.0,275879726532564.0,352203886670853.0,0.00997365304108499,,,,,0.0
193_20,-55.166667000000004,-61.716667,APLR,PS79,193,20,2114.6,21.0,34.1948,0.4044,95.0907,1.2251,27.383000000000003,841542.307692308,145.00498338697,348011960128727.0,2.99803459959833,302299529057893.0,33079773664103.0,805229614371959.0,124188179638668.0,0.799616384281604,63142696730328.8,0.235833261287213,23.6790655660278,132.92176179311002,58945290757299.2,626703.846153846,207434.615384615,0.4850637185,0.48555634369999995,0.4836771749,2241.54,2282.16,2137.67,150.0,1633.92857142857,3385.7142857142894,5.35714285714286,5008.928571428571,0.49996450367299994,0.8725878207459999,6.0143151941,41.4009485471,4.542608879059999,12527.8,24606.83,126689.64,364609.0,93748.88,11557.334302646299,0.0,0.7586026942803399,0.0,4988.84604395641,0.0,250440631061792.0,116479030698538.0,0.231200527389781,1.9743859278563503,7.202195627915732,1.24915331637999,3.4873889919651093,0.0
193_40,-55.166667000000004,-61.716667,APLR,PS79,193,40,2114.6,40.0,34.1952,0.4055,95.0792,1.2252,27.3834,615069.230769231,78.03936267669151,18729447042406.0,4.04093910094515,574054542285777.0,174199475195892.0,125221168389618.0,798587022354366.0,1.1170281284627,-7525693821972.25,0.254463066830943,27.303172735106898,166.892758436126,-38808251117384.1,437757.692307692,171261.538461538,0.48370065289999997,0.4843785221,0.4820236529,2182.77,2236.05,2059.25,75.0,916.071428571429,1521.42857142857,5.35714285714286,2421.4285714285697,0.489410054173,0.885916980828,5.16777636786,34.3642358751,3.7910616064999996,6673.23,43291.43,108399.98,127567.0,85162.78,9197.706685065159,0.0,0.812452477529915,0.0,5077.0242126169205,0.0,146964355371892.0,682782445847988.0,0.17153121174180097,,,,,0.0
193_60,-55.166667000000004,-61.716667,APLR,PS79,193,60,2114.6,70.0,34.2006,0.4273,95.3568,1.2085,27.3888,462888.46153846104,29.8330843752077,715994025004984.0,7.95277583731377,623791955376134.0,160309858340033.0,205033977842224.0,487724039948887.0,0.545725061997009,-46636212206971.7,0.264773494824739,29.3088885715328,185.69357275182998,-92908700650886.7,328096.153846154,130476.923076923,0.4843587593,0.4849185161,0.48307665409999995,2123.61,2167.61,2028.49,96.42857142857142,455.357142857143,733.928571428571,0.0,1194.64285714286,0.49949406940800006,0.867507491961,5.52581767954,0.0,3.97289125306,6898.88,30308.69,177240.31,0.0,121296.17,7891.80091024976,0.0,0.842254952460372,0.0,5125.82529411319,0.0,110911508090794.0,486042936146259.0,0.0871578923811427,2.11291649410105,8.272332345319091,1.6948292169250199,5.445715849692786,0.0
193_100,-55.166667000000004,-61.716667,APLR,PS79,193,100,2114.6,103.0,34.2835,0.0409,99.0134,0.8411,27.4795,240138.461538461,16.6043847482889,398505233958933.0,7.38935072171413,192749571536234.0,518807897745191.0,110135609726669.0,907971547514711.0,0.0918344609913095,-15005817081096.7,0.256434998562676,27.6867780233712,170.488527918622,-49155289397496.8,170203.846153846,68200.0,0.4848328085,0.4855734749,0.48304806770000003,2176.15,2212.79,2104.47,42.8571428571429,160.714285714286,219.64285714285703,0.0,385.71428571428595,0.495527609225,1.003531688787,4.08098084658,0.0,3.00996052878,4996.88,81645.43,305160.8,0.0,207917.19,8947.944304923241,0.0,0.818152381164848,0.0,5086.35771469882,0.0,455186842009425.0,212743839994073.0,0.0938035297909305,,,,,0.0
193_200,-55.166667000000004,-61.716667,APLR,PS79,193,200,2114.6,203.0,34.4474,-0.0534,100.5657,0.1219,27.6537,174223.076923077,4.8081714274865,115396114259676.0,37.7363700201591,119625088862601.0,835945042555894.0,241865355528456.0,413453178449259.0,0.7715410953368,72980610090087.8,0.233239762108642,23.174545057533997,128.192579210817,72553791928144.0,123707.69230769199,48780.7692307692,0.48511562810000003,0.4857058289,0.4837299101,2209.15,2256.07,2121.58,21.4285714285714,69.64285714285711,96.42857142857142,0.0,171.428571428571,0.48320419270000003,1.7752375920599996,4.6917307277399996,0.0,3.40353948482,5884.0,142185.0,757276.83,0.0,483890.44,11885.8236297929,0.0,0.751106138919297,0.0,4976.570553079589,0.0,281687662936747.0,157096046457688.0,0.0183681467027608,,,,,0.0
193_500,-55.166667000000004,-61.716667,APLR,PS79,193,500,2114.6,506.0,34.5382,-0.0534,100.714,-0.4442,27.7554,97815.38461538461,104.01755281125999,132929227026231.0,11.370863173916199,155041352936661.0,114830373840976.0,144713146410205.0,140823109886700.0,0.512850955314503,212175156619664.0,0.196544893096811,16.0361915442866,61.28037934427589,265097584514395.0,67861.5384615385,29276.9230769231,0.48558658130000004,0.4865339573,0.4835534381,2284.83,2350.4,2253.19,10.7142857142857,48.21428571428571,10.7142857142857,0.0,58.928571428571395,0.47836050034999994,1.87651124306,3.6216264551,0.0,2.1938049132599997,3204.0,222339.44,133520.0,0.0,206190.45,16533.549347627,0.0,0.6450389694032029,0.0,4802.88724000873,0.0,114251237378765.0,138263438044401.0,0.27796163378508004,,,,,0.0
193_1000,-55.166667000000004,-61.716667,APLR,PS79,193,1000,2114.6,1018.0,34.5509,-0.0534,100.9322,-0.7481,27.7792,75350.0,104.01755281125999,132929227026231.0,11.370863173916199,155041352936661.0,114830373840976.0,144713146410205.0,140823109886700.0,0.512850955314503,212175156619664.0,0.196544893096811,16.0361915442866,61.28037934427589,265097584514395.0,50896.1538461538,23776.9230769231,0.4857034037,0.4867053725,0.4835684021,2319.07,2440.68,2074.96,21.4285714285714,21.4285714285714,0.0,0.0,21.4285714285714,0.4917406521,1.7376665111,0.0,0.0,1.7376665111,6484.25,133514.5,0.0,0.0,133514.5,16533.549347627,0.0,0.6450389694032029,0.0,4802.88724000873,0.0,114251237378765.0,138263438044401.0,0.27796163378508004,,,,,0.0
193_2000,-55.166667000000004,-61.716667,APLR,PS79,193,2000,2114.6,2092.0,34.5552,-0.0534,98.2485,-0.8382,27.7865,80892.3076923077,104.01755281125999,132929227026232.0,11.370863173916199,155041352936661.0,114830373840977.0,144713146410205.0,140823109886700.0,0.512850955314503,212175156619664.0,0.196544893096811,16.0361915442866,61.28037934427589,265097584514395.0,61346.1538461538,19207.6923076923,0.48581718170000004,0.4867695113,0.4831122581,2535.55,2603.23,2391.39,37.5,16.071428571428598,10.7142857142857,0.0,26.785714285714302,0.485242104646,1.85388979914,5.141783087099999,0.0,3.1690471247000005,8222.0,239956.33,354800.5,0.0,285894.0,16533.549347627,0.0,0.6450389694032029,0.0,4802.88724000873,0.0,114251237378765.0,138263438044401.0,0.27796163378508004,,,,,0.0
205_20,-55.65,-60.666667000000004,APLR,PS79,205,20,3537.5,21.0,33.8468,0.5325,97.333,1.9406,27.0523,579319.230769231,41.065873336584204,985580960078019.0,7.04730987406349,183239741682294.0,545733142177108.0,4489739592371.0,2227300669507.0,0.675177199607854,25.336958200700398,0.37,24.966958200700397,169.0,40.6809486901366,352296.153846154,221269.230769231,0.4842329069,0.4849893629,0.4830628253,2216.25,2285.49,2115.64,225.0,1558.92857142857,1708.92857142857,32.1428571428571,3187.5,0.507836781114,0.8508309456409999,5.80852622218,30.787726365140003,3.77183041682,9882.44,22052.82,273010.99,4294946.0,156876.35,11831.844104541598,0.0,0.7523380221677571,0.0,4978.58774242182,0.0,223217289894819.0,10923671245575.0,0.0983562796225215,,,,,
