Genus,r.PS79.178.20m_p.fastq,r.PS79.178.60m_p.fastq,r.PS79.179.20m_p.fastq,r.PS79.179.60m_p.fastq,r.PS79.193.20m_p.fastq,r.PS79.193.60m_p.fastq,r.PS79.241.20m_p.fastq,r.PS79.241.60m_p.fastq,r.PS79.262.20m_p.fastq,r.PS79.262.60m_p.fastq,r.PS79.287.20m_p.fastq,r.PS79.287.60m_p.fastq,r.PS79.296.20m_p.fastq,r.PS79.296.60m_p.fastq,r.PS79.297.20m_p.fastq,r.PS79.297.60m_p.fastq,r.PS79.298.20m_p.fastq,r.PS79.298.60m_p.fastq,r.PS79.300.20m_p.fastq,r.PS79.300.60m_p.fastq,r.PS79.302.20m_p.fastq,r.PS79.302.60m_p.fastq,r.PS79.304.20m_p.fastq,r.PS79.304.70m_p.fastq,r.PS79.306.20m_p.fastq,r.PS79.306.60m_p.fastq,r.PS79.307.20m_p.fastq,r.PS79.307.60m_p.fastq,r.PS79.308.20m_p.fastq,r.PS79.310.20m_p.fastq,r.PS79.311.20m_p.fastq,r.PS79.311.60m_p.fastq,r.PS79.312.20m_p.fastq,r.PS79.312.60m_p.fastq,r.PS79.313.20m_p.fastq,r.PS79.314.20m_p.fastq,r.PS79.314.60m_p.fastq,r.PS79.315.20m_p.fastq,r.PS79.315.60m_p.fastq,r.PS79.317.20m_p.fastq,r.PS79.317.60m_p.fastq,r.PS79.318.20m_p.fastq,r.PS79.318.50m_p.fastq,r.PS79.319.20m_p.fastq,r.PS79.319.60m_p.fastq,r.PS79.320.20m_p.fastq,r.PS79.320.60m_p.fastq,r.PS79.321.20m_p.fastq,r.PS79.321.60m_p.fastq,r.PS79.322.20m_p.fastq,r.PS79.322.60m_p.fastq,r.PS79.323.20m_p.fastq,r.PS79.323.60m_p.fastq,r.PS79.324.20m_p.fastq,r.PS79.324.60m_p.fastq,r.PS79.326.20m_p.fastq,r.PS79.326.60m_p.fastq,r.PS79.329.20m_p.fastq,r.PS79.329.60m_p.fastq,r.PS79.330.20m_p.fastq,r.PS79.330.60m_p.fastq
Curvibacter_16,0,0,0,0,385,487,353,1168,4926,306,89,1933,0,0,0,0,0,0,0,288,0,0,10,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,27,0,0,0,0,0,0
Unknown_17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,30,0,0,10,0,17,0,0,0,28,0,0,13,0,0,0,0,447,0,3,0,0,0,0,22,0,0,7,0,0,0,0,0,0,0
Prochlorococcus_MIT9313_18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,60,314,0,111,412,0,481,0,24,0,27,2,0,58,58,26,26,0,0,4,0,98,0,17,0,145,0,0,0,63,0,0,0,133,626,289,1264,134,767,413,0,0,0,0
Polaribacter_19,0,8,130,0,49,4335,85,368,137,0,1911,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prochlorococcus_MIT9313_20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,0,28,1236,0,1450,0,28,4,20,6,0,0,0,0,0,101,32,21,17,75,0,45,3,147,3,0,19,315,0,2,0,76,48,221,127,28,209,1289,0,0,0,0
Unknown_21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,132,32,0,17,80,28,135,51,153,16,328,170,354,93,123,77,39,70,6,0,9,0,0,0,0,14,0,0,0,0,51,130,35,133,0,140,12,0,0,8,0
Clade_Ia_22,99,0,457,0,0,0,81,0,190,319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unknown_23,0,0,0,0,0,0,0,0,0,0,0,0,2,17,20,16,63,29,90,0,23,67,0,16,54,11,35,5,40,7,0,10,5,0,0,28,9,42,39,0,8,0,33,502,0,399,153,35,0,0,100,43,9,110,0,35,34,0,0,522,0
Sphingomonas_24,0,0,0,0,0,0,0,0,0,0,0,0,62,19,21,220,41,304,15,0,111,0,0,19,68,0,89,21,0,0,19,270,92,1205,15,7,0,0,9,0,125,0,17,137,0,268,3,0,0,0,20,0,33,0,0,80,17,0,0,13,0
Unknown_25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,6,25,38,0,35,48,14,39,39,116,33,102,109,83,38,0,32,11,52,3,6,3,11,0,293,0,315,142,22,17,0,256,280,92,265,132,80,41,0,0,0,0
